geo_value,time_value,value,disease,week,date
co,202442,2.0,Flu,202442,2024-10-19
ct,202442,5.0,Flu,202442,2024-10-19
dc,202442,0.0,Flu,202442,2024-10-19
de,202442,0.0,Flu,202442,2024-10-19
fl,202442,134.0,Flu,202442,2024-10-19
ga,202442,5.0,Flu,202442,2024-10-19
gu,202442,2.0,Flu,202442,2024-10-19
hi,202442,1.0,Flu,202442,2024-10-19
ia,202442,1.0,Flu,202442,2024-10-19
id,202442,6.0,Flu,202442,2024-10-19
il,202442,5.0,Flu,202442,2024-10-19
in,202442,3.0,Flu,202442,2024-10-19
ks,202442,1.0,Flu,202442,2024-10-19
ky,202442,2.0,Flu,202442,2024-10-19
la,202442,13.0,Flu,202442,2024-10-19
ma,202442,0.0,Flu,202442,2024-10-19
md,202442,2.0,Flu,202442,2024-10-19
me,202442,0.0,Flu,202442,2024-10-19
mi,202442,6.0,Flu,202442,2024-10-19
mn,202442,88.0,Flu,202442,2024-10-19
mo,202442,2.0,Flu,202442,2024-10-19
mp,202442,,Flu,202442,2024-10-19
ms,202442,4.0,Flu,202442,2024-10-19
mt,202442,2.0,Flu,202442,2024-10-19
nc,202442,48.0,Flu,202442,2024-10-19
nd,202442,0.0,Flu,202442,2024-10-19
ne,202442,0.0,Flu,202442,2024-10-19
nh,202442,0.0,Flu,202442,2024-10-19
nj,202442,0.0,Flu,202442,2024-10-19
nm,202442,2.0,Flu,202442,2024-10-19
nv,202442,5.0,Flu,202442,2024-10-19
ny,202442,5.0,Flu,202442,2024-10-19
oh,202442,10.0,Flu,202442,2024-10-19
ok,202442,0.0,Flu,202442,2024-10-19
or,202442,4.0,Flu,202442,2024-10-19
pa,202442,6.0,Flu,202442,2024-10-19
pr,202442,6.0,Flu,202442,2024-10-19
ri,202442,0.0,Flu,202442,2024-10-19
sc,202442,8.0,Flu,202442,2024-10-19
sd,202442,1.0,Flu,202442,2024-10-19
tn,202442,8.0,Flu,202442,2024-10-19
tx,202442,46.0,Flu,202442,2024-10-19
ut,202442,1.0,Flu,202442,2024-10-19
va,202442,15.0,Flu,202442,2024-10-19
vi,202442,,Flu,202442,2024-10-19
vt,202442,1.0,Flu,202442,2024-10-19
wa,202442,1.0,Flu,202442,2024-10-19
wi,202442,7.0,Flu,202442,2024-10-19
wv,202442,0.0,Flu,202442,2024-10-19
wy,202442,0.0,Flu,202442,2024-10-19
